,date_time,waste_type,robot_name
0,2020-05-10 11:42:51.375881,plastic_wrappers,R6
1,2020-05-10 11:43:14.375881,Cardboard,R3
2,2020-05-10 11:43:46.375881,PET,R15
3,2020-05-10 11:44:40.375881,LDPE,R18
4,2020-05-10 11:45:09.375881,plastic_wrappers,R2
5,2020-05-10 11:46:00.375881,plastic_wrappers,R10
6,2020-05-10 11:46:31.375881,PET,R19
7,2020-05-10 11:47:28.375881,HDPE,R24
8,2020-05-10 11:48:26.375881,Paper,R5
9,2020-05-10 11:49:11.375881,plastic_wrappers,R2
10,2020-05-10 11:49:19.375881,PET,R19
11,2020-05-10 11:49:21.375881,PET,R19
12,2020-05-10 11:49:30.375881,PET,R23
13,2020-05-10 11:50:12.375881,PVC,R21
14,2020-05-10 11:50:56.375881,HDPE,R13
15,2020-05-10 11:51:24.375881,HDPE,R24
16,2020-05-10 11:51:28.375881,PET,R15
17,2020-05-10 11:51:50.375881,HDPE,R20
18,2020-05-10 11:52:30.375881,PET,R23
19,2020-05-10 11:52:36.375881,PVC,R21
20,2020-05-10 11:53:26.375881,Paper,R5
21,2020-05-10 11:53:28.375881,PVC,R17
22,2020-05-10 11:53:51.375881,HDPE,R24
23,2020-05-10 11:54:48.375881,plastic_wrappers,R10
24,2020-05-10 11:55:04.375881,PET,R23
25,2020-05-10 11:55:09.375881,PVC,R14
26,2020-05-10 11:55:43.375881,PET,R15
27,2020-05-10 11:55:56.375881,HDPE,R20
28,2020-05-10 11:56:07.375881,Aluminium_cans,R4
29,2020-05-10 11:56:42.375881,Paper,R5
30,2020-05-10 11:57:23.375881,Paper,R5
31,2020-05-10 11:58:06.375881,Cardboard,R11
32,2020-05-10 11:58:34.375881,PVC,R14
33,2020-05-10 11:58:44.375881,Aluminium_cans,R1
34,2020-05-10 11:59:32.375881,Paper,R5
35,2020-05-10 12:00:30.375881,PVC,R21
36,2020-05-10 12:01:00.375881,LDPE,R22
37,2020-05-10 12:01:15.375881,PVC,R21
38,2020-05-10 12:02:00.375881,PVC,R17
39,2020-05-10 12:02:20.375881,Cardboard,R7
40,2020-05-10 12:03:04.375881,Cardboard,R3
41,2020-05-10 12:03:58.375881,plastic_wrappers,R10
42,2020-05-10 12:04:23.375881,PVC,R17
43,2020-05-10 12:04:50.375881,HDPE,R20
44,2020-05-10 12:05:00.375881,LDPE,R16
45,2020-05-10 12:05:32.375881,Aluminium_cans,R4
46,2020-05-10 12:06:11.375881,HDPE,R24
47,2020-05-10 12:06:23.375881,LDPE,R16
48,2020-05-10 12:06:50.375881,plastic_wrappers,R6
49,2020-05-10 12:07:22.375881,Paper,R5
50,2020-05-10 12:08:03.375881,LDPE,R22
51,2020-05-10 12:08:13.375881,PET,R15
52,2020-05-10 12:08:44.375881,plastic_wrappers,R6
53,2020-05-10 12:09:29.375881,plastic_wrappers,R6
54,2020-05-10 12:09:53.375881,Cardboard,R3
55,2020-05-10 12:10:51.375881,HDPE,R13
56,2020-05-10 12:10:55.375881,LDPE,R22
